"city","country","location","lat","long"
"Dublin","Ireland","Dublin, Ireland",53.3493795,-6.2605593
"Glasgow","Scotland","Glasgow, Scotland",55.861155,-4.2501687
"Rotterdam","Netherlands","Rotterdam, Netherlands",51.9244424,4.47775
"Amsterdam","Netherlands","Amsterdam, Netherlands",52.3730796,4.8924534
"New York","USA","New York, USA",40.7127281,-74.0060152
"Washington","USA","Washington, USA",38.8950368,-77.0365427
"Belfast","Northern Ireland","Belfast, Northern Ireland",54.596391,-5.9301829
"Drammen","Norway","Drammen, Norway",59.6964936,10.1756419500128
"Edinburgh","Scotland","Edinburgh, Scotland",55.9533456,-3.1883749
"Stockholm","Sweden","Stockholm, Sweden",59.3251172,18.0710935
"Gothenburg","Sweden","Gothenburg, Sweden",57.7072326,11.9670171
"Manchester","England","Manchester, England",53.4794892,-2.2451148
"Rio de Janeiro","Brazil","Rio de Janeiro, Brazil",-22.9110137,-43.2093727
"Hamburg","Germany","Hamburg, Germany",53.550341,10.000654
"Northampton","England","Northampton, England",52.23433665,-0.902807276818583
"Offenbach am Main","Germany","Offenbach am Main, Germany",50.1055002,8.7610698
"Loughborough","England","Loughborough, England",52.7723859,-1.2077985
"Sao Paulo","Brazil","Sao Paulo, Brazil",-23.5506507,-46.6333824
"Cologne","Germany","Cologne, Germany",50.938361,6.959974
"Tullamore","Ireland","Tullamore, Ireland",53.2743768,-7.4927486
"London","England","London, England",51.4893335,-0.144055084527687
"Mannheim","Germany","Mannheim, Germany",49.4892913,8.4673098
"Munich","Germany","Munich, Germany",48.1371079,11.5753822
"Milan","Italy","Milan, Italy",45.4641943,9.1896346
"Bologna","Italy","Bologna, Italy",44.4938203,11.3426327
"Buenos Aires","Argentina","Buenos Aires, Argentina",-34.6083696,-58.4440583
"Zurich","Switzerland","Zurich, Switzerland",47.3744489,8.5410422
"Brussels","Belgium","Brussels, Belgium",50.8465573,4.351697
"Paris","France","Paris, France",48.8534951,2.3483915
"New Orleans","USA","New Orleans, USA",29.9759983,-90.0782127
"Santiago","Chile","Santiago, Chile",-33.4377756,-70.6504502
"The Hague","Netherlands","The Hague, Netherlands",52.0799838,4.3113461
"Austin","USA","Austin, USA",30.2711286,-97.7436995
"Dallas","USA","Dallas, USA",32.7762719,-96.7968559
"Oklahoma City","USA","Oklahoma City, USA",35.4729886,-97.5170536
"Perth","Australia","Perth, Australia",-31.9558933,115.8605855
"St. Louis","USA","St. Louis, USA",38.6280278,-90.1910154
"Minneapolis","USA","Minneapolis, USA",44.9772995,-93.2654692
"Melbourne","Australia","Melbourne, Australia",-37.8142454,144.9631732
"Madison","USA","Madison, USA",43.074761,-89.3837613
"Champaign","USA","Champaign, USA",40.1164841,-88.2430932
"Kansas City","USA","Kansas City, USA",39.100105,-94.5781416
"Brisbane","Australia","Brisbane, Australia",-27.4689682,153.0234991
"Dundee","Scotland","Dundee, Scotland",56.4605938,-2.97019
"Denver","USA","Denver, USA",39.7392364,-104.984862
"Aberdeen","Scotland","Aberdeen, Scotland",57.1482429,-2.0928095
"Houston","USA","Houston, USA",29.7589382,-95.3676974
"Lakeland","USA","Lakeland, USA",28.0394654,-81.9498042
"Sydney","Australia","Sydney, Australia",-33.8698439,151.2082848
"Newcastle","England","Newcastle, England",54.9738474,-1.6131572
"Phoenix","USA","Phoenix, USA",33.4484367,-112.074141
"Miami","USA","Miami, USA",25.7741728,-80.19362
"Lancaster","England","Lancaster, England",54.0484068,-2.7990345
"Los Angeles","USA","Los Angeles, USA",34.0536909,-118.242766
"Liverpool","England","Liverpool, England",53.4071991,-2.99168
"Charlotte","USA","Charlotte, USA",35.2272086,-80.8430827
"Philadelphia","USA","Philadelphia, USA",39.9527237,-75.1635262
"West Palm Beach","USA","West Palm Beach, USA",26.715364,-80.0532942
"Hanley","England","Hanley, England",53.026111,-2.1754512
"Albany","USA","Albany, USA",42.6511674,-73.754968
"Tampa","USA","Tampa, USA",27.9477595,-82.458444
"Atlanta","USA","Atlanta, USA",33.7489924,-84.3902644
"Tokyo","Japan","Tokyo, Japan",35.6768601,139.7638947
"Boston","USA","Boston, USA",42.3554334,-71.060511
"Tallahassee","USA","Tallahassee, USA",30.4380832,-84.2809332
"Portsmouth","England","Portsmouth, England",50.800031,-1.0906023
"Bristol","England","Bristol, England",51.4538022,-2.5972985
"Daly City","USA","Daly City, USA",37.6904826,-122.47267
"Hampton","USA","Hampton, USA",37.0264414,-76.3442846
"Uniondale","USA","Uniondale, USA",40.7095827,-73.592341
"Ottawa","Canada","Ottawa, Canada",45.4208777,-75.6901106
"Knoxville","USA","Knoxville, USA",35.9603948,-83.9210261
"Birmingham","England","Birmingham, England",52.4796992,-1.9026911
"Toronto","Canada","Toronto, Canada",43.6534817,-79.3839347
"Cardiff","Wales","Cardiff, Wales",51.4816546,-3.1791934
"Honolulu","USA","Honolulu, USA",21.304547,-157.855676
"Osaka","Japan","Osaka, Japan",34.6937569,135.5014539
"Memphis","USA","Memphis, USA",35.1460249,-90.0517638
"Hartford","USA","Hartford, USA",41.764582,-72.6908547
"Louisville","USA","Louisville, USA",38.2542376,-85.759407
"Brighton","England","Brighton, England",50.8214626,-0.1400561
"Worcester","USA","Worcester, USA",42.2625621,-71.8018877
"San Diego","USA","San Diego, USA",32.7174202,-117.162772
"Indianapolis","USA","Indianapolis, USA",39.7683331,-86.1583502
"Reseda","USA","Reseda, USA",34.2006552,-118.536528
"Ipswich","England","Ipswich, England",52.0579324,1.1528095
"Providence","USA","Providence, USA",41.8239891,-71.4128343
"Amherst","USA","Amherst, USA",42.3731948,-72.5198761
"Cape Town","South Africa","Cape Town, South Africa",-33.9288301,18.4172197
"Limerick","Ireland","Limerick, Ireland",52.661252,-8.6301239
"Sheffield","England","Sheffield, England",53.3806626,-1.4702278
"San Jose","USA","San Jose, USA",37.3361663,-121.890591
"Leeds","England","Leeds, England",53.7974185,-1.5437941
"East Rutherford","USA","East Rutherford, USA",40.833989,-74.0970865
"San Francisco","USA","San Francisco, USA",37.7792588,-122.4193286
"Chicago","USA","Chicago, USA",41.8755616,-87.6244212
"Johannesburg","South Africa","Johannesburg, South Africa",-26.205,28.049722
"Seattle","USA","Seattle, USA",47.6038321,-122.330062
"Detroit","USA","Detroit, USA",42.3315509,-83.0466403
"Montreal","Canada","Montreal, Canada",45.5031824,-73.5698065
"Vancouver","Canada","Vancouver, Canada",49.2608724,-123.113952
"Richfield","USA","Richfield, USA",44.8766431,-93.2877877
"Auburn Hills","USA","Auburn Hills, USA",42.6875323,-83.2341028
"Nottingham","England","Nottingham, England",52.9534193,-1.1496461
"Rosemont","USA","Rosemont, USA",41.9941334,-87.8756737
